# 1st line: number of mesh points
# abcissa weight wavefunction wavefunction_1st wavefunction_2nd
500
# Principal QN=   1 , l=   0 , Occupation=   1.0000
  3.530675036492E-001  5.041508271801E-003 -3.001279234819E-003  7.448416937344E-003  1.880964816883E-001
  3.581365028158E-001  5.096591939172E-003 -2.961159650979E-003  8.370615639139E-003  1.758358987492E-001
  3.632608929041E-001  5.152291741875E-003 -2.916009459734E-003  9.240863447206E-003  1.638871224887E-001
  3.684412949588E-001  5.208617528209E-003 -2.865991525188E-003  1.005953522541E-002  1.522511225096E-001
  3.736783399619E-001  5.265579324662E-003 -2.811273674030E-003  1.082704243962E-002  1.409287000247E-001
  3.789726690123E-001  5.323187339805E-003 -2.752028572836E-003  1.154383320747E-002  1.299204856641E-001
  3.843249335105E-001  5.381451968273E-003 -2.688433596471E-003  1.221039231466E-002  1.192269373679E-001
  3.897357953460E-001  5.440383794842E-003 -2.620670687599E-003  1.282724119749E-002  1.088483383647E-001
  3.952059270903E-001  5.499993598618E-003 -2.548926207275E-003  1.339493789009E-002  9.878479524418E-002
  4.007360121927E-001  5.560292357317E-003 -2.473390775726E-003  1.391407693424E-002  8.903623612835E-002
  4.063267451812E-001  5.621291251662E-003 -2.394259104038E-003  1.438528925200E-002  7.960240894579E-002
  4.119788318683E-001  5.683001669888E-003 -2.311729816138E-003  1.480924197906E-002  7.048287981542E-002
  4.176929895600E-001  5.745435212354E-003 -2.226005261443E-003  1.518663825788E-002  6.167703154463E-002
  4.234699472710E-001  5.808603696282E-003 -2.137291317108E-003  1.551821698907E-002  5.318406224747E-002
  4.293104459435E-001  5.872519160606E-003 -2.045797181072E-003  1.580475254097E-002  4.500298408913E-002
  4.352152386716E-001  5.937193870949E-003 -1.951735154965E-003  1.604705441448E-002  3.713262216156E-002
  4.411850909306E-001  6.002640324729E-003 -1.855320416960E-003  1.624596686356E-002  2.957161349693E-002
  4.472207808110E-001  6.068871256391E-003 -1.756770784797E-003  1.640236846972E-002  2.231840622425E-002
  4.533230992589E-001  6.135899642772E-003 -1.656306468655E-003  1.651717166881E-002  1.537125887598E-002
  4.594928503202E-001  6.203738708611E-003 -1.554149814008E-003  1.659132222999E-002  8.728239849782E-003
  4.657308513924E-001  6.272401932198E-003 -1.450525034678E-003  1.662579868501E-002  2.387227031750E-003
  4.720379334802E-001  6.341903051163E-003 -1.345657935574E-003  1.662161170756E-002 -3.654092412156E-003
  4.784149414579E-001  6.412256068427E-003 -1.239775625628E-003  1.657980344053E-002 -9.398222070503E-003
  4.848627343381E-001  6.483475258298E-003 -1.133106221413E-003  1.650144677190E-002 -1.484785614153E-002
  4.913821855461E-001  6.555575172733E-003 -1.025878539748E-003  1.638764455590E-002 -2.000587910009E-002
  4.979741832006E-001  6.628570647764E-003 -9.183217821200E-004  1.623952878177E-002 -2.487536517353E-002
  5.046396304008E-001  6.702476810086E-003 -8.106652087239E-004  1.605825968607E-002 -2.945957761762E-002
  5.113794455212E-001  6.777309083830E-003 -7.031378036355E-004  1.584502480999E-002 -3.376196778744E-002
  5.181945625116E-001  6.853083197508E-003 -5.959679304193E-004  1.560103800019E-002 -3.778617399693E-002
  5.250859312060E-001  6.929815191146E-003 -4.893829796815E-004  1.532753835240E-002 -4.153602016110E-002
  5.320545176366E-001  7.007521423604E-003 -3.836090069984E-004  1.502578909740E-002 -4.501551421406E-002
  5.391013043575E-001  7.086218580100E-003 -2.788703637944E-004  1.469707642929E-002 -4.822884629830E-002
  5.462272907741E-001  7.165923679926E-003 -1.753893192933E-004  1.434270827465E-002 -5.118038671773E-002
  5.534334934816E-001  7.246654084380E-003 -7.338567510806E-005  1.396401300342E-002 -5.387468364972E-002
  5.607209466109E-001  7.328427504912E-003  2.692362683643E-005  1.356233808084E-002 -5.631646061060E-002
  5.680907021827E-001  7.411262011483E-003  1.253249036133E-004  1.313904865995E-002 -5.851061366833E-002
  5.755438304707E-001  7.495176041166E-003  2.216081366950E-004  1.269552611542E-002 -6.046220839766E-002
  5.830814203728E-001  7.580188406970E-003  3.155673829274E-004  1.223316651840E-002 -6.217647657288E-002
  5.907045797917E-001  7.666318306912E-003  4.070011907997E-004  1.175337905268E-002 -6.365881259229E-002
  5.984144360243E-001  7.753585333338E-003  4.957130209047E-004  1.125758437287E-002 -6.491476963142E-002
  6.062121361613E-001  7.842009482502E-003  5.815116709393E-004  1.074721290454E-002 -6.595005551862E-002
  6.140988474955E-001  7.931611164409E-003  6.642117030033E-004  1.022370308780E-002 -6.677052833061E-002
  6.220757579409E-001  8.022411212936E-003  7.436338739089E-004  9.688499564632E-003 -6.738219170420E-002
  6.301440764614E-001  8.114430896230E-003  8.196055667442E-004  9.143051311256E-003 -6.779118985926E-002
  6.383050335109E-001  8.207691927403E-003  8.919612237277E-004  8.588809716307E-003 -6.800380233210E-002
  6.465598814833E-001  8.302216475524E-003  9.605427779158E-004  8.027226607032E-003 -6.802643841515E-002
  6.549098951744E-001  8.398027176926E-003  1.025200085025E-003  7.459752224031E-003 -6.786563130169E-002
  6.633563722545E-001  8.495147146827E-003  1.085791352122E-003  6.887833147575E-003 -6.752803193391E-002
  6.719006337539E-001  8.593599991288E-003  1.142183564053E-003  6.312910175676E-003 -6.702040255260E-002
  6.805440245593E-001  8.693409819506E-003  1.194252904861E-003  5.736416158452E-003 -6.634960994937E-002
  6.892879139233E-001  8.794601256469E-003  1.241885174250E-003  5.159773788973E-003 -6.552261841962E-002
  6.981336959871E-001  8.897199455961E-003  1.284976197371E-003  4.584393354730E-003 -6.454648241872E-002
  7.070827903152E-001  9.001230113956E-003  1.323432226634E-003  4.011670451741E-003 -6.342833892175E-002
  7.161366424455E-001  9.106719482390E-003  1.357170334520E-003  3.442983665104E-003 -6.217539948909E-002
  7.252967244510E-001  9.213694383338E-003  1.386118795494E-003  2.879692218970E-003 -6.079494204113E-002
  7.345645355186E-001  9.322182223606E-003  1.410217456418E-003  2.323133599468E-003 -5.929430234515E-002
  7.439416025400E-001  9.432211009745E-003  1.429418093191E-003  1.774621154901E-003 -5.768086521893E-002
  7.534294807203E-001  9.543809363512E-003  1.443684752659E-003  1.235441677232E-003 -5.596205545715E-002
  7.630297542000E-001  9.657006537783E-003  1.452994077963E-003  7.068529692345E-004 -5.414532848570E-002
  7.727440366954E-001  9.771832432940E-003  1.457335615726E-003  1.900814020790E-004 -5.223816075189E-002
  7.825739721536E-001  9.888317613741E-003  1.456712103630E-003 -3.136805311896E-004 -5.024803985866E-002
  7.925212354258E-001  1.000649332670E-002  1.451139736517E-003 -8.032766617605E-004 -4.818245445150E-002
  8.025875329584E-001  1.012639151798E-002  1.440648409554E-003 -1.277589584392E-003 -4.604888386901E-002
  8.127746035011E-001  1.024804485184E-002  1.425281936164E-003 -1.735543084140E-003 -4.385478756810E-002
  8.230842188350E-001  1.037148672960E-002  1.405098239528E-003 -2.176104544546E-003 -4.160759433692E-002
  8.335181845190E-001  1.049675130923E-002  1.380169515872E-003 -2.598287330708E-003 -3.931469130812E-002
  8.440783406568E-001  1.062387352550E-002  1.350582367076E-003 -3.001153139899E-003 -3.698341278892E-002
  8.547665626839E-001  1.075288911077E-002  1.316437901456E-003 -3.383814313297E-003 -3.462102892334E-002
  8.655847621758E-001  1.088383461638E-002  1.277851800666E-003 -3.745436100885E-003 -3.223473420400E-002
  8.765348876780E-001  1.101674743475E-002  1.234954350678E-003 -4.085238872001E-003 -2.983163585318E-002
  8.876189255584E-001  1.115166582209E-002  1.187890435308E-003 -4.402500263567E-003 -2.741874209247E-002
  8.988389008829E-001  1.128862892191E-002  1.136819490572E-003 -4.696557257656E-003 -2.500295032311E-002
  9.101968783143E-001  1.142767678917E-002  1.081915417456E-003 -4.966808179749E-003 -2.259103524037E-002
  9.216949630368E-001  1.156885041525E-002  1.023366452137E-003 -5.212714609272E-003 -2.018963690528E-002
  9.333353017046E-001  1.171219175365E-002  9.613749915425E-004 -5.433803192856E-003 -1.780524880095E-002
