# Reference      Predicted      Error          #atoms         
-60.01603       -60.56931       0.55328         10.00000       
-54.91088       -59.01755       4.10667         10.00000       
-55.71801       -58.88335       3.16535         10.00000       
-55.04969       -59.01009       3.96040         10.00000       
-55.73173       -59.03074       3.29901         10.00000       
-55.75419       -59.00699       3.25280         10.00000       
-60.74337       -60.66292       0.08045         10.00000       
-58.66212       -60.86060       2.19848         10.00000       
-48.65300       -53.22660       4.57360         10.00000       
-58.16390       -60.79556       2.63166         10.00000       
-57.92544       -60.16494       2.23950         10.00000       
-55.21457       -59.03620       3.82164         10.00000       
-56.47713       -59.62641       3.14928         10.00000       
-48.41298       -52.48606       4.07307         10.00000       
-55.37339       -59.21805       3.84466         10.00000       
-61.78333       -60.71830       1.06503         10.00000       
-61.79564       -60.71964       1.07600         10.00000       
-61.46628       -60.75098       0.71530         10.00000       
-58.51906       -60.80605       2.28699         10.00000       
-60.01679       -60.58613       0.56934         10.00000       
-61.35064       -60.95460       0.39604         10.00000       
-61.42083       -60.91195       0.50888         10.00000       
-61.42514       -60.95460       0.47054         10.00000       
-61.57800       -60.85504       0.72296         10.00000       
-57.55299       -60.96320       3.41021         10.00000       
-56.04298       -59.95564       3.91267         10.00000       
-61.48025       -60.50439       0.97586         10.00000       
-61.61851       -60.50716       1.11135         10.00000       
-61.48183       -60.63131       0.85053         10.00000       
-61.45008       -60.81919       0.63089         10.00000       
-61.39539       -60.62881       0.76658         10.00000       
-61.48686       -60.75283       0.73403         10.00000       
-61.43554       -60.65349       0.78205         10.00000       
-55.39802       -59.77259       4.37458         10.00000       
-61.48828       -60.93893       0.54935         10.00000       
-61.49441       -60.93160       0.56281         10.00000       
-61.55124       -60.56440       0.98684         10.00000       
-61.44901       -60.39417       1.05484         10.00000       
-61.45821       -60.30805       1.15016         10.00000       
-61.49073       -60.97929       0.51144         10.00000       
-61.54162       -60.96156       0.58007         10.00000       
-61.55088       -60.93483       0.61605         10.00000       
-61.44901       -60.87695       0.57206         10.00000       
-61.43041       -60.79152       0.63889         10.00000       
-61.44579       -60.76551       0.68028         10.00000       
-61.49794       -60.74175       0.75619         10.00000       
-61.39640       -60.53541       0.86099         10.00000       
-61.45054       -60.72350       0.72704         10.00000       
-61.49608       -60.76809       0.72799         10.00000       
-61.45598       -60.76200       0.69397         10.00000       
-61.49704       -60.66566       0.83138         10.00000       
-61.46097       -60.62929       0.83168         10.00000       
-61.45725       -60.61310       0.84414         10.00000       
-61.50751       -60.55626       0.95125         10.00000       
-61.47781       -60.57856       0.89924         10.00000       
-61.39636       -60.77414       0.62222         10.00000       
-61.55490       -60.79013       0.76476         10.00000       
-61.53281       -60.79414       0.73867         10.00000       
-56.99308       -60.84014       3.84706         10.00000       
-61.52059       -60.49495       1.02564         10.00000       
-61.39111       -60.56570       0.82541         10.00000       
-61.49058       -60.95833       0.53225         10.00000       
-61.49647       -60.74093       0.75554         10.00000       
-61.47745       -60.75625       0.72120         10.00000       
-61.50738       -60.75263       0.75475         10.00000       
-61.49962       -60.76785       0.73177         10.00000       
-61.51800       -60.85416       0.66384         10.00000       
-61.49171       -60.93438       0.55733         10.00000       
-61.41350       -60.94396       0.46954         10.00000       
-61.39228       -60.93811       0.45417         10.00000       
-61.46908       -60.51811       0.95097         10.00000       
-61.57039       -60.37878       1.19161         10.00000       
-61.42411       -60.33091       1.09320         10.00000       
-61.48003       -60.61642       0.86361         10.00000       
-61.61871       -60.76027       0.85844         10.00000       
-61.40188       -60.71602       0.68586         10.00000       
-61.34628       -60.75381       0.59247         10.00000       
-61.46460       -60.82334       0.64126         10.00000       
-61.42368       -60.80804       0.61564         10.00000       
-61.44635       -60.45756       0.98879         10.00000       
-61.43781       -60.26941       1.16840         10.00000       
-61.40976       -60.27151       1.13826         10.00000       
-61.37050       -60.41448       0.95603         10.00000       
-61.39942       -60.90424       0.49518         10.00000       
-61.50471       -60.54631       0.95839         10.00000       
-61.54446       -60.54351       1.00095         10.00000       
-61.51839       -60.52424       0.99415         10.00000       
-61.50020       -60.52587       0.97433         10.00000       
-61.54647       -60.81758       0.72889         10.00000       
-61.48224       -60.67831       0.80393         10.00000       
-61.41390       -60.92854       0.48536         10.00000       
-61.43550       -60.96626       0.46924         10.00000       
-61.43913       -60.39641       1.04272         10.00000       
-61.40924       -60.96492       0.44432         10.00000       
-61.39146       -60.96432       0.42714         10.00000       
-61.58015       -60.49754       1.08260         10.00000       
-61.35348       -60.79089       0.56258         10.00000       
-61.44599       -60.76124       0.68475         10.00000       
-61.50074       -60.75530       0.74544         10.00000       
-61.56767       -60.67563       0.89204         10.00000       
-61.55922       -60.66702       0.89220         10.00000       
-61.51339       -60.61027       0.90312         10.00000       
-61.49268       -60.71706       0.77562         10.00000       
-61.52509       -60.88216       0.64293         10.00000       
-61.40105       -60.85957       0.54148         10.00000       
-61.50441       -60.66764       0.83677         10.00000       
-61.47674       -60.62619       0.85055         10.00000       
-61.55000       -60.73067       0.81933         10.00000       
-61.45570       -60.81766       0.63803         10.00000       
-61.47999       -60.77753       0.70246         10.00000       
-61.44201       -60.41451       1.02750         10.00000       
-61.59033       -60.73122       0.85911         10.00000       
-61.37182       -60.73644       0.63537         10.00000       
-61.45724       -60.72243       0.73481         10.00000       
-61.47688       -60.77081       0.70607         10.00000       
-61.59383       -60.73999       0.85384         10.00000       
-61.49491       -60.73522       0.75969         10.00000       
-61.44258       -60.75962       0.68296         10.00000       
-61.47491       -60.71446       0.76046         10.00000       
